涛哥音乐,#genre#
涛哥精心制作,https://vd3.bdstatic.com/mda-pd369avvets19gch/sc/cae_h264/1680582897997490362/mda-pd369avvets19gch.mp4
车载必备 DJ ,https://vd3.bdstatic.com/mda-mhve4gb9hi8cstzk/1080p/cae_h264/1630319514896018158/mda-mhve4gb9hi8cstzk.mp4
涛涛记忆,https://vd2.bdstatic.com/mda-ndpg29kxui1g1xrj/sc/cae_h264_delogo/1650799724379445533/mda-ndpg29kxui1g1xrj.mp4
音乐欣赏,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAguOaa4gUo_J_z6gI.mp4
陈慧娴 谁可改变,https://vd4.bdstatic.com/mda-pe8mpintgpb8dgjz/sc/cae_h264/1683686453932813197/mda-pe8mpintgpb8dgjz.mp4
《宝丽金20周年群星演唱会完整版》,https://vd3.bdstatic.com/mda-pbp4sapcn5kmpxhg/sc/cae_h264/1677214872183868613/mda-pbp4sapcn5kmpxhg.mp4
动感DJ《苦了累了听听歌》,https://vd4.bdstatic.com/mda-mhqekuf2r91v08dt/1080p/cae_h264/1629888246186602728/mda-mhqekuf2r91v08dt.mp4
最远的你是我最近的爱,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/zydn.mp4
【甘十九妹】片尾曲《多情总比无情苦》,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/gsjm.mp4
把悲伤留给自己,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/beishang.mp4
祈祷-粤语版,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/qidao.mp4
等一分钟,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/yifenzhong.mp4
人生何处不相逢,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/rensgheng.mp4
你的样子,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/yangzi.mp4
一个爱上浪漫的人,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/3527481-1.mp4
那一刻【雨宗林】,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/nyk6782-2.mp4
蓝眼泪《杨蔓》,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/lyl59676-3.mp4
想你的时候问月亮,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/xnd16372-5.mp4
其实我很在乎你 车静子,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/98225012-6.mp4
台湾十二大美女,https://gitcode.net/wbwxtt/yingku/-/raw/master/MTV/mn868615-7.mp4?inline=false

央视频道,#genre#
CCTV-1,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c1714&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20240925162238&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=117.153.178.3&SecurityKey=20240925162238&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-7.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&encrypt=0bd27ea53290a30606427e1bfde17c29
CCTV-2,http://hlszymgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c9601&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20240925162456&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=117.153.178.3&SecurityKey=20240925162456&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-7.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&encrypt=9c945dc323ef96f2f411085c21c00911
CCTV-3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c0469&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20240925162558&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=117.153.178.3&SecurityKey=20240925162558&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-7.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&encrypt=6e853843a8ef05722fe6193fbae906b3
CCTV-4,http://hlszymgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c5957&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20240925162635&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=117.153.178.3&SecurityKey=20240925162635&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-7.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&encrypt=4268e044f0fe4b1ba800a575f4b240ec
CCTV-5,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c5545&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20240925162709&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=117.153.178.3&SecurityKey=20240925162709&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-7.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&encrypt=39d2611802f60e3ef30a1933b23503ea
CCTV-5+,http://hlszymgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c1914&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20240925162808&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=117.153.178.3&SecurityKey=20240925162808&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-7.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&encrypt=1c5333776ea9b7e186504a2927f6d161
CCTV-6,http://hlszymgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c0219&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20240925162837&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=117.153.178.3&SecurityKey=20240925162837&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-7.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&encrypt=7ab1efaff463a1ab48f324696e314807
